home_ownership,last_pymnt_d,total_payment
RENT,2009-04-01,83457.1
OWN,2009-04-01,10880.3
MORTGAGE,2009-04-01,68048.28
RENT,2009-03-01,82623.18
OWN,2009-03-01,13875.69
OTHER,2009-03-01,1862.2
MORTGAGE,2009-03-01,74597.59
RENT,2009-02-01,53502.46
OWN,2009-02-01,8850.69
OTHER,2009-02-01,4217.61
MORTGAGE,2009-02-01,41454.27
RENT,2009-01-01,46014.35
OWN,2009-01-01,360.29
OTHER,2009-01-01,151.03
MORTGAGE,2009-01-01,89175.52
RENT,2008-12-01,18716.11
OWN,2008-12-01,4832.78
MORTGAGE,2008-12-01,27321.59
RENT,2008-11-01,25380.08
OWN,2008-11-01,748.4
MORTGAGE,2008-11-01,16536.59
RENT,2008-10-01,79568.97
OWN,2008-10-01,325.85
MORTGAGE,2008-10-01,52335.39
RENT,2008-09-01,34385.55
MORTGAGE,2008-09-01,10686.03
RENT,2008-08-01,35360.27
OWN,2008-08-01,262.26
MORTGAGE,2008-08-01,2973.86
RENT,2008-07-01,31559.21
MORTGAGE,2008-07-01,37860.79
RENT,2008-06-01,12296.53
OWN,2008-06-01,9624.64
MORTGAGE,2008-06-01,8413.58
RENT,2008-05-01,4532.76
OWN,2008-05-01,5032.0
MORTGAGE,2008-05-01,84565.91
RENT,2008-04-01,37876.0
OWN,2008-04-01,7139.74
MORTGAGE,2008-04-01,25377.88
RENT,2008-03-01,6040.38
MORTGAGE,2008-03-01,8829.73
RENT,2008-02-01,7703.28
OWN,2008-01-01,4105.9
MORTGAGE,2008-01-01,14014.72
RENT,,0.0
OWN,,0.0
MORTGAGE,,0.0
